client_id,idade,renda_mensal,tempo_emprego_anos,qtd_contas,score_credito,historico_atrasos,valor_emprestimo,parcelas,inadimplente
1,56,4889.23,1.9,2,459.1336732241409,0,35015.27,35,0
2,69,2525.05,1.2,1,528.3173392091885,1,9833.68,59,1
3,46,4929.04,1.9,1,588.1121236860182,1,5009.69,21,0
4,32,1079.75,2.8,3,374.04466873444085,1,5282.45,33,0
5,60,1708.66,12.8,3,676.8991536344918,1,38535.48,20,1
6,25,1252.19,8.3,2,394.68454901524944,0,1922.5,14,0
7,38,4340.12,5.9,2,666.9587690898178,0,14828.11,42,0
8,56,5277.9,6.6,2,470.71907100718374,0,6894.73,39,0
9,36,2635.79,1.9,0,559.5081309296501,0,37868.05,47,0
10,40,1482.75,3.2,3,651.9130646949429,1,25422.91,51,0
11,28,2934.23,6.8,2,819.8139519479482,0,10671.87,3,0
12,28,2019.76,1.5,2,611.645197770735,0,37645.34,36,1
13,41,1576.66,9.8,1,401.7373671800492,0,37643.14,9,0
14,70,3909.62,1.6,3,695.3695132635773,2,26389.62,4,0
15,53,1625.56,2.8,5,576.8081595140982,0,14154.56,59,0
16,57,851.43,3.7,0,606.9906654458823,1,29520.72,24,0
17,41,1017.1,9.0,0,655.7863029887615,0,46709.74,6,0
18,20,826.66,0.8,1,377.46220430942856,1,3056.0,47,1
19,39,3633.71,4.1,2,600.6536847735196,0,13714.02,48,0
20,70,3362.11,2.2,2,559.0306110047304,0,14605.98,22,1
21,19,3230.58,0.9,1,722.1834906005519,1,31774.68,5,0
22,41,4770.4,4.5,5,672.7113763338743,0,32732.64,11,0
23,61,7735.44,2.4,0,437.29980772184524,2,10712.61,20,0
24,47,1856.01,3.2,1,726.2625852349048,0,11196.98,59,1
25,55,4126.49,1.2,2,644.9525088160211,0,46446.53,18,0
26,19,842.44,2.0,2,445.2758402546782,0,37936.79,53,0
27,38,8981.91,2.9,3,605.5753103492773,0,46746.35,54,0
28,50,1101.18,1.6,0,703.4826113855855,1,41568.32,11,0
29,29,1689.07,0.7,2,478.5956127426606,0,20404.84,21,0
30,39,1847.95,9.8,0,737.7577335845417,0,6534.43,8,0
31,61,879.17,2.1,1,448.7371225872474,0,31662.74,46,0
32,42,3059.66,4.0,4,520.8772823353015,1,17923.56,17,0
33,66,3537.31,1.6,6,505.7129164610308,1,21557.89,55,0
34,44,2561.81,1.3,0,737.6933731588662,1,21581.05,8,0
35,59,869.4,1.6,3,550.8983863450803,0,46857.72,7,0
36,45,14569.84,1.6,0,483.7182997339002,1,3908.69,31,0
37,33,4625.71,2.4,0,644.5210878914062,0,10058.64,48,0
38,32,24523.27,2.4,1,666.1180990592719,0,30593.17,29,0
39,64,1565.42,2.1,4,666.7536094794132,0,44246.02,53,0
40,68,6414.43,0.4,3,572.866083477399,0,45938.16,52,0
41,61,5560.37,2.1,0,625.4534301036948,1,28155.3,47,0
42,72,2362.65,0.6,0,534.9766913770715,1,2210.78,43,1
43,69,9217.33,0.4,0,767.4801677935731,0,18462.61,54,0
44,74,2155.27,8.1,2,714.4205158657932,0,45982.25,28,0
45,20,2233.41,2.8,4,708.2956829040675,0,25247.23,30,0
46,54,185.46,3.2,2,679.4115934573546,1,36467.36,56,1
47,68,4134.92,1.5,3,651.9733305995002,0,13825.07,34,0
48,24,1032.35,7.2,0,475.5637515850212,0,1737.85,27,0
49,38,1918.74,3.0,3,663.3301236255649,0,29128.83,55,0
50,26,1311.63,4.4,5,611.426523006332,0,41831.56,9,0
51,56,2223.89,1.4,2,726.336408495092,0,49518.3,32,0
52,35,4251.83,9.7,4,680.7419182382428,0,42408.04,55,1
53,21,3007.65,5.2,2,655.0380470153021,1,27922.72,33,1
54,42,5259.09,5.8,3,431.57752024698436,0,30632.02,14,0
55,31,8205.04,0.6,1,591.0999463391529,0,41296.12,11,0
56,67,2219.34,0.9,1,544.2107740096344,1,1480.63,36,0
57,26,2032.75,1.0,1,625.2365924183074,0,47606.4,5,0
58,43,6413.64,0.9,5,558.4451728557357,0,26795.45,39,0
59,70,6833.81,5.8,2,572.4054223906694,0,47626.59,52,0
60,19,5390.93,0.1,3,645.9033904906704,0,38343.65,30,0
